model,epochs,level,pairwise_accuracy,n_pairs,mean_margin,A_mean,B_mean,C_mean
gpt2,2,A,0.487,189,-0.001,0.959,0.959,0.96
gpt2,5,A,0.624,189,0.009,0.096,0.092,0.085
gpt2,8,A,0.698,189,0.026,0.077,0.057,0.049
gpt2,8,B,0.554,410,0.004,0.292,0.299,0.298
gpt2,8,C,0.58,119,-0.0,0.666,0.679,0.679
rugpt,2,A,0.884,189,0.44,0.895,0.483,0.284
rugpt,2,B,0.751,410,0.218,0.246,0.571,0.476
rugpt,2,C,0.866,119,0.306,0.099,0.259,0.499
rugpt,5,A,0.921,189,0.55,0.965,0.464,0.229
rugpt,5,B,0.776,410,0.33,0.28,0.857,0.605
rugpt,8,A,0.926,189,0.572,0.982,0.43,0.177
